com_code,tcf_type,continent,area_code,area,item,unit,tcf
c03,tcf_shipping_weight,AFR,197,Sierra Leone,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,201,Somalia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,202,South Africa,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,205,Western Sahara,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,209,Eswatini,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,215,United Republic of Tanzania,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,217,Togo,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,219,Tonga,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,222,Tunisia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,226,Uganda,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,233,Burkina Faso,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,238,Ethiopia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,250,Democratic Republic of the Congo,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,251,Zambia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,270,Mayotte,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,276,Sudan,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,277,South Sudan,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,1,Armenia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,2,Afghanistan,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,13,Bahrain,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,16,Bangladesh,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,18,Bhutan,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,24,British Indian Ocean Territory,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,26,Brunei Darussalam,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,28,Myanmar,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,38,Sri Lanka,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,41,"China, mainland",Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,52,Azerbaijan,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,73,Georgia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,96,"China, Hong Kong SAR",Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,100,India,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,101,Indonesia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,ASI,102,Iran (Islamic Republic of),Wood fuel,m3rw/tonne,1.45416875
